거래일시,포지션,매수시간,매도시간,매수금액,매도금액,손익,수익률(%),성공종목수,1단계실패종목수,3단계실패종목수,비고
2025-11-18 10:27:16,ETF,2025-11-18 10:26:56,2025-11-18 10:27:16,0,12880,12880,0.0,,,,
2025-11-18 10:27:36,ETF,2025-11-18 10:27:25,2025-11-18 10:27:36,12880,12885,5,0.04,,,,
2025-11-18 10:29:14,바스켓,2025-11-18 10:28:10,2025-11-18 10:29:14,27425775,27410148,-15627,-0.06,14.0,0.0,0.0,
2025-11-18 10:30:01,ETF,2025-11-18 10:29:18,2025-11-18 10:30:01,12865,12865,0,0.0,,,,
2025-11-18 10:30:32,ETF,2025-11-18 10:30:06,2025-11-18 10:30:32,12870,12865,-5,-0.04,,,,
2025-11-18 10:30:53,ETF,2025-11-18 10:30:37,2025-11-18 10:30:53,12870,12875,5,0.04,,,,
2025-11-18 10:31:17,ETF,2025-11-18 10:30:56,2025-11-18 10:31:17,12870,12865,-5,-0.04,,,,
2025-11-18 10:31:47,ETF,2025-11-18 10:31:21,2025-11-18 10:31:47,12865,12870,5,0.04,,,,
2025-11-18 10:32:11,ETF,2025-11-18 10:31:52,2025-11-18 10:32:11,12870,12870,0,0.0,,,,
2025-11-18 10:32:34,ETF,2025-11-18 10:32:14,2025-11-18 10:32:34,12867,12855,-12,-0.09,,,,
2025-11-18 10:33:21,ETF,2025-11-18 10:32:39,2025-11-18 10:33:21,12855,12855,0,0.0,,,,
2025-11-18 10:33:53,ETF,2025-11-18 10:33:24,2025-11-18 10:33:53,12865,12870,5,0.04,,,,
2025-11-18 10:35:00,바스켓,2025-11-18 10:34:15,2025-11-18 10:35:00,27282386,23065438,-4216948,-15.46,14.0,0.0,0.0,
2025-11-18 10:35:33,ETF,2025-11-18 10:35:03,2025-11-18 10:35:33,12860,12870,10,0.08,,,,
2025-11-18 10:36:47,바스켓,2025-11-18 10:35:53,2025-11-18 10:36:47,29634026,27979001,-1655025,-5.58,14.0,0.0,0.0,
2025-11-18 10:37:02,ETF,2025-11-18 10:36:51,2025-11-18 10:37:02,12880,12880,0,0.0,,,,
2025-11-18 10:38:02,ETF,2025-11-18 10:37:08,2025-11-18 10:38:02,12870,12870,0,0.0,,,,
2025-11-18 10:38:24,ETF,2025-11-18 10:38:09,2025-11-18 10:38:24,12860,12870,10,0.08,,,,
2025-11-18 10:38:38,ETF,2025-11-18 10:38:33,2025-11-18 10:38:38,12870,12880,10,0.08,,,,
2025-11-18 10:40:27,바스켓,2025-11-18 10:38:59,2025-11-18 10:40:27,28708406,26487721,-2220685,-7.74,13.0,0.0,1.0,
2025-11-18 10:40:58,ETF,2025-11-18 10:40:31,2025-11-18 10:40:58,12875,12870,-5,-0.04,,,,
2025-11-18 10:41:46,ETF,2025-11-18 10:41:02,2025-11-18 10:41:46,12865,12870,5,0.04,,,,
2025-11-18 10:42:54,바스켓,2025-11-18 10:42:09,2025-11-18 10:42:54,27011889,27045010,33121,0.12,14.0,0.0,0.0,
2025-11-18 10:43:07,ETF,2025-11-18 10:42:58,2025-11-18 10:43:07,12885,12877,-8,-0.06,,,,
2025-11-18 10:44:13,바스켓,2025-11-18 10:43:28,2025-11-18 10:44:13,28879155,26664535,-2214620,-7.67,14.0,0.0,0.0,
2025-11-18 10:45:37,바스켓,2025-11-18 10:44:32,2025-11-18 10:45:37,27649351,24950718,-2698633,-9.76,13.0,0.0,0.0,
2025-11-18 10:47:10,바스켓,2025-11-18 10:45:58,2025-11-18 10:47:10,27636327,25673490,-1962837,-7.1,13.0,0.0,1.0,
2025-11-18 10:48:47,바스켓,2025-11-18 10:47:30,2025-11-18 10:48:47,26455925,25249094,-1206831,-4.56,13.0,0.0,0.0,
2025-11-18 10:49:12,ETF,2025-11-18 10:48:50,2025-11-18 10:49:12,12880,12875,-5,-0.04,,,,
2025-11-18 10:49:23,ETF,2025-11-18 10:49:16,2025-11-18 10:49:23,12880,12875,-5,-0.04,,,,
2025-11-18 10:49:41,ETF,2025-11-18 10:49:26,2025-11-18 10:49:41,12875,12870,-5,-0.04,,,,
2025-11-18 10:50:11,ETF,2025-11-18 10:49:46,2025-11-18 10:50:11,12870,12880,10,0.08,,,,
2025-11-18 10:50:29,ETF,2025-11-18 10:50:15,2025-11-18 10:50:29,12875,12875,0,0.0,,,,
2025-11-18 10:50:48,ETF,2025-11-18 10:50:32,2025-11-18 10:50:48,12870,12865,-5,-0.04,,,,
2025-11-18 10:51:01,ETF,2025-11-18 10:50:53,2025-11-18 10:51:01,12867,12855,-12,-0.09,,,,
2025-11-18 10:52:21,ETF,2025-11-18 10:51:06,2025-11-18 10:52:21,12850,0,0,0.0,,,,3단계(가격조회) 실패
