거래일시,포지션,매수시간,매도시간,매수금액,매도금액,손익,수익률(%),성공종목수,1단계실패종목수,3단계실패종목수,삼성E&A_손익,삼성E&A_수익률(%),삼성SDI_손익,삼성SDI_수익률(%),삼성물산_손익,삼성물산_수익률(%),삼성생명_손익,삼성생명_수익률(%),삼성에스디에스_손익,삼성에스디에스_수익률(%),삼성전기_손익,삼성전기_수익률(%),삼성전자_손익,삼성전자_수익률(%),삼성중공업_손익,삼성중공업_수익률(%),삼성증권_손익,삼성증권_수익률(%),삼성카드_손익,삼성카드_수익률(%),삼성화재_손익,삼성화재_수익률(%),에스원_손익,에스원_수익률(%),제일기획_손익,제일기획_수익률(%),호텔신라_손익,호텔신라_수익률(%),비고
2025-11-18 10:59:56,ETF,2025-11-18 10:58:03,2025-11-18 10:59:56,12840,12820,-20,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:01:38,ETF,2025-11-18 11:00:01,2025-11-18 11:01:38,12815,12825,10,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:02:41,ETF,2025-11-18 11:01:43,2025-11-18 11:02:41,12825,12815,-10,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:03:47,ETF,2025-11-18 11:02:44,2025-11-18 11:03:47,12810,12820,10,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:05:21,바스켓,2025-11-18 11:04:07,2025-11-18 11:05:21,28790597,27832776,-957821,-3.33,13.0,0.0,0.0,407.0,0.14,-4500.0,-0.15,-9504.0,-0.27,-1605.0,-0.07,-1148.0,-0.1,243.0,0.01,-2100.0,-0.02,-5424.0,-0.19,110.0,0.01,-200.0,-0.09,-933500.0,-40.06,0.0,0.0,-600.0,-0.23,0.0,0.0,
2025-11-18 11:06:29,ETF,2025-11-18 11:05:25,2025-11-18 11:06:29,12800,12800,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:06:48,ETF,2025-11-18 11:06:33,2025-11-18 11:06:48,12795,12800,5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:08:02,ETF,2025-11-18 11:06:53,2025-11-18 11:08:02,12800,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3단계(가격조회) 실패
2025-11-18 11:09:33,ETF,2025-11-18 11:08:16,2025-11-18 11:09:33,0,12810,12810,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:11:15,바스켓,2025-11-18 11:09:54,2025-11-18 11:11:15,28670943,27217043,-1453900,-5.07,13.0,0.0,1.0,0.0,0.0,4750.0,0.16,8000.0,0.23,210.0,0.01,399.0,0.03,0.0,0.0,2400.0,0.02,2938.0,0.1,-297.0,-0.03,-100.0,-0.05,-1399000.0,-60.04,0.0,0.0,0.0,0.0,200.0,0.08,
2025-11-18 11:11:50,ETF,2025-11-18 11:11:18,2025-11-18 11:11:50,12815,12805,-10,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:12:08,ETF,2025-11-18 11:11:55,2025-11-18 11:12:08,12810,12800,-10,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:12:37,ETF,2025-11-18 11:12:13,2025-11-18 11:12:37,12805,12805,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:12:51,ETF,2025-11-18 11:12:42,2025-11-18 11:12:51,12805,12805,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:13:02,ETF,2025-11-18 11:12:55,2025-11-18 11:13:02,12810,12810,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:14:37,바스켓,2025-11-18 11:13:22,2025-11-18 11:14:37,28223646,27378523,-845123,-2.99,13.0,0.0,0.0,1300.0,0.2,3500.0,0.11,-860260.0,-24.95,-495.0,-0.02,-700.0,-0.06,-495.0,-0.03,1300.0,0.01,9379.0,0.32,198.0,0.02,400.0,0.19,750.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-18 11:15:09,ETF,2025-11-18 11:14:40,2025-11-18 11:15:09,12820,12820,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:16:01,ETF,2025-11-18 11:15:13,2025-11-18 11:16:01,12815,12815,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
